Support / Oppose,Candidate,Amount,Name,Purchase,Office,Date,Aggregate Amount
Support,"Cruz, Rafael 'Ted'","$2,655.21",Facebook,Digital Media Production/Placement,Presidential,2016-02-25,"$555,432.69"
Support,"Johnson, Gary","$2,631.60",Facebook,social media ads,Presidential,2016-08-29,"$133,459.11"
Support,"Cruz, Rafael 'Ted'","$2,620.54",Google,Digital Media Production/Placement - OKLAHOMA,Presidential,2016-02-28,"$648,679.60"
Support,"Cruz, Rafael Edward 'Ted'","$2,603.13",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-21,$0.00
Support,"Cruz, Rafael 'Ted'","$2,602.05",Facebook,Digital Media Production/Placement,Presidential,2015-08-05,"$9,789.36"
Support,"Cruz, Rafael Edward 'Ted'","$2,597.67",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-26,$0.00
Oppose,"Bush, Jeb","$2,571.52",Facebook Advertising,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Cruz, Rafael Edward Ted","$2,571.51",Facebook Advertising,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Rubio, Marco","$2,571.51",Facebook Advertising,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Oppose,"Trump, Donald J","$2,571.51",Facebook Advertising,Digital Advertising,Presidential,2015-11-20,"$317,557.95"
Support,"Cruz, Rafael Edward 'Ted'","$2,550.14",Facebook - [Memo Item],Digital Media Production/Placement,Presidential,2015-12-23,$0.00
Support,"Cruz, Ted","$2,529.65",Facebook,Digital Media Production/Placement,Presidential,2016-01-22,"$159,979.05"
Support,"Burr, Richard","$2,500.00",Facebook,Online ads,State,2016-11-03,"$2,500.00"
Support,"Toomey, Patrick Joseph","$2,500.00",Facebook,Online ads,State,2016-11-03,"$2,500.00"
Support,"Clinton, Hillary","$2,500.00",Facebook,Digital media buy - estimated cost,Presidential,2016-10-06,"$2,500.00"
Oppose,"Trump, Donald J","$2,500.00",Facebook,Digital Ad Buy (Estimate),Presidential,2016-10-24,"$103,678,786.58"
Oppose,"Ellmers, Renee Jacisin","$2,500.00",Facebook,Facebook ads,State,2016-05-16,"$6,000.00"
Support,"Trump, Donald J. / Michael","$2,500.00","Google, Inc.","Google ads across all 50 states, reporting based on single entry reporting in AO-2003-440",Presidential,2016-11-02,"$296,906.78"
Support,"Toomey, Patrick Joseph","$2,500.00",Google,Web Advertising,State,2016-11-03,"$8,750.00"
Support,"Kefalas, Chrysovalantis P","$2,500.00",Google Inc.,Online Ads,State,2016-04-23,"$18,000.00"
Support,"Kefalas, Chrysovalantis P","$2,500.00",Google Inc.,Online Ads pd thru Vertical Strategies,State,2016-05-02,"$17,500.00"
Support,"Cruz, Rafael Edward 'Ted'","$2,469.34",Facebook - [Memo Item],Digital Media Production/Placement,Presidential,2015-12-14,$0.00
Support,"Cruz, Ted","$2,454.89",Facebook,Digital Media Production/Placement,Presidential,2016-01-21,"$33,680.33"
Support,"Cruz, Ted","$2,445.78",Facebook,Digital Media Production/Placement,Presidential,2016-01-21,"$36,126.11"
Support,"Cruz, Ted","$2,424.20",Facebook,Digital Media Production/Placement,Presidential,2016-01-23,"$173,242.04"
Support,"Cruz, Rafael 'Ted'","$2,413.45",Google,Digital Media Production/Placement - VIRGINIA,Presidential,2016-02-28,"$673,895.03"
Support,"Cruz, Ted","$2,340.81",Facebook,Digital Media Production/Placement,Presidential,2016-01-22,"$163,089.55"
Support,"Barragan, Nanette","$2,337.75",Facebook,Online Ads,State,2016-11-05,"$11,864.69"
Support,"Cortez Masto, Catherine","$2,333.26",Facebook,Digital Ads,State,2016-10-17,$0.00
Support,"Cruz, Rafael Edward 'Ted'","$2,302.41",YouTube - Memo Item,Digital Media Production/Placement,Presidential,2015-12-25,$0.00
Support,"Curbelo, Carlos","$2,250.00",Google,IE-Curbelo-Online Ads-Estimated,State,2016-09-29,"$160,333.00"
Support,"Curbelo, Carlos","$2,250.00",Google,IE-Curbelo-Online Ads-Estimated,State,2016-09-29,"$155,166.00"
Oppose,"Masto, Catherine Cortez","$2,250.00",Google,IE-Masto-Online Ads-Estimated,State,2016-09-29,"$57,250.00"
Oppose,"Masto, Catherine Cortez","$2,250.00",Google,IE-Masto-Online Ads-Estimated,State,2016-09-29,"$57,250.00"
Support,"Kander, Jason","$2,250.00",Google,Estimated Cost: Online Advertising Services,State,,"$2,416.00"
Support,"Cruz, Rafael 'Ted'","$2,208.59",Facebook,Digital Media Production/Placement - VIRGINIA,Presidential,2016-02-28,"$671,481.58"
Support,"Cruz, Ted","$2,174.77",Facebook,Digital Media Production/Placement,Presidential,2016-01-20,"$24,198.75"
Support,"Cruz, Rafael 'Ted'","$2,172.56",Google,Digital Media Production/Placement,Presidential,2016-02-26,"$580,773.36"
Oppose,"Trump, Donald","$2,164.00",Facebook,Digital ad placement,Presidential,2016-09-21,"$40,986.17"
Oppose,"Ayotte, Kelly","$2,050.14",Facebook Inc.,Promotion of social media posts,State,2016-10-24,"$8,843.38"
Support,"Cruz, Rafael 'Ted'","$2,016.43",Google,Digital Media Production/Placement,Presidential,2016-02-27,"$603,764.01"
Support,"Trump, Donald","$2,015.92",Twitter Inc.,Estimated promoted Tweets/Twitter handle,Presidential,2016-11-07,$0.00
Oppose,"Mcginty, Kathleen Alana","$2,000.00",Facebook Inc.,Digital Web Ad Placement (Defeat McGinty),State,2016-08-22,"$136,898.71"
Support,"Kingson, Eric R. Mr.","$2,000.00",Google,Web Ads,State,2016-06-17,"$14,500.00"
Support,"Rubio, Marco","$2,000.00",Facebook,Online ads,State,2016-11-03,"$2,000.00"
Support,"Trump, Donald J.","$2,000.00",Facebook.com,Internet Advertising,Presidential,2016-10-27,"$4,000.00"
Support,"Trump, Donald J.","$2,000.00",Facebook.com,Internet Advertising,Presidential,2016-10-27,"$2,000.00"
Support,"Clinton, Hillary","$2,000.00",Facebook,Digital media buy - estimated cost,Presidential,2016-10-03,"$6,950.00"
Support,"Clinton, Hillary","$2,000.00",Facebook,Digital media buy - estimated cost,Presidential,2016-09-29,"$163,735.00"
Support,"Clinton, Hillary","$2,000.00",Facebook,Digital media buy - estimated cost,Presidential,2016-10-21,"$37,250.00"
Support,"Clinton, Hillary Rodham","$2,000.00",Facebook,Online Advertising,Presidential,2016-10-20,"$273,874.17"
Support,"Clinton, Hillary Rodham","$2,000.00",Facebook,Online Advertising,Presidential,2016-10-31,"$472,140.72"
Support,"Clinton, Hillary Rodham","$2,000.00",Facebook,Online Advertising,Presidential,2016-11-05,"$583,319.04"
Oppose,"Brady, Kevin","$2,000.00","Facebook, Inc.",Facebook Ad,State,,$0.00
Support,"Toth, Steve","$2,000.00","Facebook, Inc.",Facebook Ads supporting Steve Toth,State,,$0.00
Support,"Toth, Steve","$2,000.00","Facebook, Inc.",Facebook Ads supporting Steve Toth,State,,$0.00
